InfoboxType;CoNLL;TUD-Loc;Notes
aircraft begin;MISC;;
airline;ORG;;
airport;LOC;POI;
album;MISC;;
amusement park;LOC;POI;
ancient site;LOC;POI;historical and cultural locations
architect;PER;;
artist;PER;;
athlete;PER;;
athletic conference;MISC;;
australian electorate;LOC;UNIT;
australian place;LOC;CITY;
automobile;MISC;;
award;MISC;;
belgium municipality;LOC;UNIT;
body of water;LOC;LANDMARK;
book;MISC;;
brand;ORG;;or MISC
bridge;LOC;POI;
broadcasting network;MISC;;
building;LOC;POI;added LOC
bus transit;;POI;
canada electoral district;LOC;UNIT;
canton;LOC;UNIT;
cemetery;LOC;POI;
central bank;ORG;POI;
china station;LOC;POI;
church;LOC;POI;
city;LOC;CITY;
city japan;LOC;CITY;
college coach;PER;;
comedian;PER;;
company;ORG;POI;
computer;MISC;;
country;LOC;COUNTRY;
cricket ground;LOC;POI;
cricketer;PER;;
dam;LOC;POI;
defunct company;ORG;POI;
department;LOC;UNIT;
deutsche bahn station;LOC;POI;
diocese;;REGION;
disease;MISC;;
district;LOC;CITY;
district de;LOC;UNIT;
dotcom company;ORG;POI;
education in canada;ORG;POI;???
election;;;
electric vehicle;MISC;;
england county;LOC;UNIT;
fbi ten most wanted;PER;;
film;MISC;;
first lady;PER;;
football biography;PER;;
football club;ORG;;
football club season;;;
former country;LOC;COUNTRY;???
former subdivision;;UNDETERMINED;
french canton;LOC;UNIT;
french commune;LOC;CITY;
gb station;LOC;POI;
geopolitical organization;MISC;;
german district;LOC;UNIT;
german location;LOC;CITY;
german state;LOC;UNIT;
glacier;LOC;LANDMARK;
golf tournament;MISC;;
government agency;ORG;POI;
greek dimos;LOC;CITY;
gridiron football person;PER;;
hiking trail;;POI;
historic building;LOC;POI;
historic site;LOC;POI;
historic subdivision;;UNDETERMINED;
hospital;;POI;
hotel;LOC;POI;
ice hockey player;PER;;
indian jurisdiction;LOC;UNIT;
information appliance;MISC;;
island;LOC;LANDMARK;
islands;LOC;LANDMARK;
italian comune;LOC;CITY;
japan station;LOC;POI;
journal;MISC;;
lake;LOC;LANDMARK;
language;MISC;;
law enforcement agency;ORG;POI;
law school;ORG;POI;
legislature;ORG;;could also be MISC
library;;POI;
lighthouse;LOC;POI;
london station;LOC;POI;
magazine;MISC;;
mandir;;POI;
militant organization;ORG;;
military conflict;MISC;;
military person;PER;;
military structure;LOC;POI;
military unit;ORG;;was MISC
mine;LOC;POI;
mlb;ORG;;
mlb player;PER;;
mobile phone;MISC;;
monument;LOC;POI;
mountain;LOC;LANDMARK;
mountain pass;LOC;LANDMARK;
mountain range;LOC;LANDMARK;
museum;;POI;
musical artist;;;ambiguous, may be person, may be band
newspaper;MISC;;
nfl player;PER;;
nfl team;ORG;;
non-profit;ORG;POI;
nrhp;LOC;POI;National Register of Historic Places
nycs;LOC;POI;New York City Subway service
officeholder;PER;;
oil field;LOC;UNDETERMINED;
organization;ORG;POI;
ort in ̦sterreich;LOC;CITY;
park;LOC;POI;
person;PER;;
planet;;;
politician;PER;;
power station;LOC;POI;
prc province;LOC;UNIT;Province of China
president;PER;;
prison;LOC;POI;
protected area;LOC;LANDMARK;
province;LOC;UNIT;
public transit;;POI;
radio station;MISC;;
rail;;POI;
rail service;MISC;POI;
range;;LANDMARK;
record label;ORG;POI;
regency;LOC;;
region;LOC;REGION;
religious building;LOC;POI;
restaurant;;POI;
river;LOC;LANDMARK;
road;LOC;STREET;
rockunit;LOC;LANDMARK;
roller coaster;;POI;
royalty;PER;;
russian district;LOC;UNIT;
russian town;LOC;CITY;
school;ORG;POI;
school district;;POI;
scientist;PER;;
scotland council area;LOC;UNIT;
sea;LOC;LANDMARK;
secondary school;ORG;POI;
senator;PER;;
settlement;LOC;CITY;
sg rail;LOC;POI;
ship begin;MISC;;
shopping mall;LOC;POI;
single;MISC;;
ski area;LOC;POI;
sms station;;POI;
software;MISC;;
south african subplace;LOC;UNIT;
south african town;LOC;CITY;
sports league;MISC;;
sportsperson;PER;;
sssi;;POI;
stadium;LOC;POI;
station;LOC;POI;
street;LOC;STREET;
swiss town;LOC;CITY;
television;MISC;;
television episode;;;was MISC
theatre;LOC;POI;
town at;LOC;CITY;
tunnel;LOC;POI;
tv channel;MISC;;
u.s. county;LOC;UNIT;
u.s. state;LOC;UNIT;
uk disused station;LOC;POI;
uk feature;;UNDETERMINED;
uk place;LOC;CITY;
uk school;LOC;POI;
uk station;LOC;POI;
united nations;ORG;;
university;ORG;POI;
valley;LOC;LANDMARK;
venue;LOC;POI;
vg;MISC;;video game
waterfall;LOC;LANDMARK;
world heritage site;LOC;POI;
writer;PER;;
zoo;LOC;POI;
bulgarian province;LOC;UNIT;
prefecture japan;LOC;UNIT;
province tr;LOC;UNIT;
london borough;LOC;UNIT;
province or territory of canada;LOC;UNIT;
football league;MISC;;
olympic games;MISC;;
russian federal subject;LOC;UNIT;
continent;LOC;CONTINENT;
palestine municipality;LOC;CITY;
israel municipality;LOC;CITY;
palestinian authority municipality;LOC;CITY;